Correction,GroundTruth,ORC
n,in,n
september,september,september
of,of,of
mca,mca,mca
had,had,had
prevlously,previously,prevlously
commented,commented,commented
on,on,on
the,the,the
agencys,agencys,agencys
general,general,general
procedural,procedural,procedural
regulatlons,regulations,regulatlons
governing,governing,governlng
admin,adminis,admn
tratlve,trative,tratlve
hearlngs,hearings,hearlngs
these,these,these
comments,comments,comments
represent,represent,represent
a,a,a
considerable,considerable,conslderable
commit,commit,commlti
ment,ment,men
of,of,of
time,time,time
and,and,and
effort,effort,effort
on,on,on
the,the,the
part,part,part
of,of,of
individual,individual,ndvdual
members,members,members
of,of,of
our,our,our
commlttee,committee,commlttee
recognized,recognized,recognlzed
the,the,the
validity,validity,valldlty
of,of,of
many,many,many
of,of,of
our,our,our
polnts,points,polnts
and,and,and
ndcated,indicated,ndcated
that,that,that
concerns,concerns,concerns
we,we,we
expressed,expressed,expressed
the,the,the
effectiveness,effectiveness,effectlveness
of,of,of
our,our,our
committee,committeeand,commltteeand
of,of,of
mcaas,mcaas,mcaas
an,an,an
industry,industry,ndustry
comments,comments,comments
to,to,to
the,the,the
agency,agency,agency
and,and,and
the,the,the
mca,mca,mca
commlttee,committee,commlttee
structure,structure,structure
itself,itself,tself
which,which,whlch
relles,relies,relles
almost,almost,almost
completely,completely,completely
on,on,on
the,the,the
work,work,work
product,product,product
of,of,of
the,the,the
commlttee,committee,commlttee
members,members,members
in,in,in
the,the,the
last,last,last
regard,regard,regard
i,i,i
belleve,believe,belleve
that,that,that
the,the,the
commlttees,committees,commlttees
effectiveness,effectiveness,effectlveness
could,could,could
be,be,be
enhanced,enhanced,enhanced
by,by,by
more,more,more
threat,direct,threat
mca,mca,mca
staff,staff,staff
involvement,involvement,nvolvement
mca,with,mm
fda,fda,fda
representatives,representatives,representatlves
on,on,on
issues,issues,lssues
of,of,of
general,general,general
interest,interest,nterest
and,and,and
by,by,by
more,more,more
active,active,actlve
staff,staff,staff
participation,participation,partlclpatlon
n,in,n
the,the,the
preparatlon,preparation,preparatlon
of,of,of
written,written,wrltten
input,input,nput
on,on,on
agency,agency,agency
proposals,proposals,proposals
n,in,n
mcas,mcas,mcas
method,method,method
of,of,of
operation,operation,operatlon
not,not,not
as,as,as
a,a,a
reflectlon,reflection,reflectlon
on,on,on
the,the,the
staff,staff,staff
i,i,i
am,am,am
grateful,grateful,grateful
for,for,for
this,this,thls
opportunity,opportunity,opportunlty
to,to,to
give,give,give
you,you,you
some,some,some
idea,idea,dea
of,of,of
our,our,our
commlttees,committees,commlttees
activities,activities,actlvltles
and,and,and
concerns,concerns,concerns
and,and,and
welcome,welcome,welcome
any,any,any
specific,specific,speclflc
questions,questions,questlons
you,you,you
may,may,may
have,have,have
cma,cma,cm
exhibit,exhibit,exhlblt
e,e,e
mca,mca,mca
industrlal,industrial,industrlal
relatlons,relations,relatlons
advlsory,advisory,advlsory
commlttee,committee,commlttee
report,report,report
to,to,to
the,the,the
board,board,board
of,of,of
dlrectors,directors,dlrectors
january,january,january
john,john,john
j,j,j
radlgan,radigan,radlgan
chalrman,chairman,chalrman
in,in,in
september,september,september
i,i,i
had,had,had
the,the,the
prlvllege,privilege,prlvllege
of,of,of
speaklng,speaking,speaklng
m,to,m
the,the,the
board,board,board
of,of,of
dlrectors,directors,dlrectors
to,to,to
report,report,report
on,on,on
the,the,the
ndustrlal,industrial,ndustrlal
relatlons,relations,relatlons
advlsory,advisory,advlsory
commlttees,committees,commlttees
actlvltles,activities,actlvltles
at,at,at
that,that,that
time,time,tune
i,i,i
took,took,took
a,a,a
few,few,few
mlnutes,minutes,mlnutes
m,to,m
crystalball,crystalball,crystaliball
what,what,what
i,i,i
saw,saw,saw
n,in,n
the,the,the
near,near,near
future,future,future
n,in,n
the,the,the
broad,broad,broad
area,area,area
of,of,of
ndustrlal,industrial,ndustrlal
relatlons,relations,relatlons
a,as,a
i,i,i
ndcated,indicated,ndcated
n,in,n
my,my,my
projections,projections,projectlons
we,we,we
have,have,have
seen,seen,seen
relatlvely,relatively,relatlvely
mtn,high,mgn
nflatlon,inflation,nflatlon
contlnue,continue,contlnue
through,through,through
coupled,coupled,coupled
cma,with,mm
high,high,hlgh
ncreases,increases,ncreases
n,in,n
wages,wages,wages
at,at,at
all,all,all
levels,levels,levels
new,new,new
and,and,and
improved,improved,mproved
frlnge,fringe,frlnge
hav,hav,hav
witnessed,witnessed,wltnessed
a,a,a
strong,strong,strong
push,push,push
for,for,for
job,job,job
securlty,security,securlty
fueled,fueled,fueled
by,by,by
the,the,the
reces,reces,reces
soon,sion,slon
in,in,in
my,my,my
oplnlon,opinion,oplnlon
even,even,even
though,though,though
nflatlon,inflation,nflatlon
has,has,has
slowed,slowed,slowed
down,down,down
and,and,and
hop,hop,hop
fully,fully,fully
hill,will,hill
contlnue,continue,contlnue
to,to,to
do,do,do
so,so,so
wages,wages,wages
hill,will,hill
rlse,rise,rlse
n,in,n
excess,excess,excess
of,of,of
the,the,the
current,current,current
level,level,level
of,of,of
inflation,inflation,nflatn
and,and,and
frlnge,fringe,frlnge
beneflts,benefits,beneflts
together,together,together
with,with,hlth
job,job,job
other,other,other
forms,forms,forms
of,of,of
insurance,insurance,nsurance
programs,programs,programs
such,such,such
as,as,as
those,those,those
coverlng,covering,coverlng
automoblles,automobiles,automoblles
and,and,and
legal,legal,legal
fees,fees,fees
will,will,will
reach,reach,reach
the,the,the
bargaining,bargaining,bargalnlng
table,table,table
a,as,a
to,to,to
job,job,job
securlty,security,securlty
we,we,we
shall,shall,shall
see,see,see
n,in,n
the,the,the
next,next,next
three,three,three
to,to,to
epa,five,elva
years,years,years
a,a,a
deflnlte,definite,deflnlte
major,major,major
breakthrough,breakthrough,breakthrough
n,in,n
thls,this,thls
area,area,area
which,which,whlch
hill,will,hill
splll,spill,splll
over,over,over
nto,into,nto
most,most,most
of,of,of
our,our,our
major,major,major
companles,companies,companles
and,and,and
ndustres,industries,ndustres
with,with,hlth
such,such,such
in,in,in
novatlons,novations,novatlons
as,as,as
guaranteed,guaranteed,guaranteed
work,work,work
weeks,weeks,weeks
no,no,no
time,time,tune
cards,cards,cards
etc,etc,etc
a,a,a
key,key,key
industry,industry,ndustry
and,and,and
the,the,the
united,united,unlted
steelworkers,steelworkers,steelworkers
of,of,of
america,america,amerlca
the,the,the
initial,initial,initial
sesslon,session,sesslon
tlons,tions,tlons
untll,until,untll
aprll,april,aprll
at,at,at
which,which,whlch
june,time,tune
any,any,any
unresolved,unresolved,unresolved
natlonal,national,natlonal
contract,contract,contract
lssues,issues,lssues
will,will,will
be,be,be
submltted,submitted,submltted
to,to,to
arbltratlon,arbitration,arbltratlon
under,under,under
the,the,the
experlmental,experimental,experlmental
negotlatlon,negotiation,negotlatlon
agreement,agreement,agreement
no,no,no
later,later,later
than,than,than
july,july,july
since,since,since
costofliving,costofliving,costiofillvlng
protectlon,protection,protectlon
and,and,and
a,a,a
standardofliving,standardofliving,standardiofillvlng
ncrease,increase,ncrease
are,are,are
foregone,foregone,foregone
concluslons,conclusions,concluslons
th,this,th
ncludes,includes,ncludes
income,income,ncome
securlty,security,securlty
and,and,and
employ,employ,employ
ment,ment,ment
securlty,security,securlty
and,and,and
could,could,could
include,include,nclude
costofliving,costofliving,costiofillvlng
adjustments,adjustments,adjustments
on,on,on
vacatlons,vacations,vacatlons
penslons,pensions,penslons
and,and,and
insurance,insurance,nsurance
beneflts,benefits,beneflts
and,and,and
further,further,further
restrictions,restrictions,restrlctlons
on,on,on
contractingout,contractingout,contractlngiout
of,of,of
work,work,work
a,a,a
shorter,shorter,shorter
work,work,work
week,week,week
and,and,and
addltlonal,additional,addltlonal
paid,paid,paid
days,days,days
off,off,off
could,could,could
also,also,also
be,be,be
n,in,n
th,th,th
posture,picture,plcture
although,although,although
there,there,there
has,has,has
in,b,in
en,en,en
a,a,a
great,great,great
deal,deal,deal
of,of,of
talk,talk,talk
about,about,about
codetermina,codetermina,caidetemlnai
cma,cma,cm
will,will,will
become,become,become
a,a,a
part,part,part
of,of,of
our,our,our
ndustrlal,industrial,ndustrlal
life,life,life
here,here,here
n,in,n
the,the,the
united,united,unlted
stafas,stafas,stafias
form,form,form
as,as,as
we,we,we
are,are,are
experiencing,experiencing,experlenclng
n,in,n
europe,europe,europe
two,two,two
other,other,other
areas,areas,areas
which,which,whlch
will,will,will
stand,stand,stand
out,out,out
for,for,for
ncreased,increased,ncreased
future,future,future
actlvlty,activity,actlvlty
are,are,are
occupatlonal,occupational,occupatlonal
safety,safety,safety
and,and,and
health,health,health
and,and,and
equal,equal,equal
employment,employment,employment
opportunlty,opportunity,opportunlty
whether,whether,whether
you,you,you
have,have,have
means,unions,muons
or,or,or
not,not,not
your,your,your
employees,employees,employees
are,are,are
becomlng,becoming,becomlng
more,more,more
aware,aware,aware
of,of,of
thelr,their,thelr
rlghts,rights,rlghts
n,in,n
these,these,these
areas,areas,areas
myrons,unions,muons
many,many,many
are,are,are
bulldlng,building,bulldlng
technlcal,technical,technlcal
staffs,staffs,staffs
n,in,n
the,the,the
safety,safety,safety
hygiene,hygiene,hyglene
and,and,and
health,health,health
flelds,fields,flelds
to,to,to
aim,aid,am
thelr,their,thelr
locals,locals,locals
n,in,n
audltlng,auditing,audltlng
the,the,the
safety,safety,safety
of,of,of
our,our,our
work,work,work
places,places,places
several,several,several
companles,companies,companles
n,in,n
our,our,our
industry,industry,ndustry
have,have,have
experienced,experienced,experlenced
employee,employee,employee
health,health,health
crlses,crises,crlses
n,in,n
the,the,the
last,last,last
year,year,year
jim,with,mm
the,the,the
resultlng,resulting,resultlng
employee,employee,employee
and,and,and
publlc,public,publlc
relatlons,relations,relatlons
problems,problems,problems
we,we,we
must,must,must
be,be,be
prepared,prepared,prepared
to,to,to
devote,devote,devote
more,more,more
management,management,management
time,time,time
and,and,and
resources,resources,resources
to,to,to
avold,avoid,avold
further,further,further
employee,employee,employee
anxletles,anxieties,anxletles
about,about,about
the,the,the
safety,safety,safety
of,of,of
thelr,their,thelr
work,work,work
locatlons,locations,locatlons
a,as,a
for,for,for
osha,osha,osha
itself,itself,tself
dr,dr,dr
agency,agency,agency
stresslng,stressing,stresslng
educatlon,education,educatlon
rather,rather,rather
than,than,than
only,only,only
compllance,compliance,compllance
under,under,under
the,the,the
best,best,best
of,of,of
circumstances,circumstances,clrcumstances
those,those,those
of,of,of
us,us,us
cma,with,mm
unions,unions,unlons
can,can,can
expect,expect,expect
to,to,to
hear,hear,hear
more,more,more
about,about,about
health,health,health
and,and,and
safety,safety,safety
n,in,n
future,future,future
negotiations,negotiations,negotlatlons
means,unions,muons
are,are,are
impatient,impatient,impatient
with,with,hlth
osha,osha,osha
indeed,indeed,indeed
and,one,ans
the,the,the
cma,oil,ml
chemical,chemical,chemlcal
and,and,and
we,we,we
should,should,should
expect,expect,expect
that,that,that
thls,this,thls
impatience,impatience,luvpatlence
demands,demands,demands
for,for,for
safety,safety,safety
commlttees,committees,commlttees
health,with,hlth
authorlty,authority,authorlty
use,use,use
of,of,of
unlon,union,unlon
safety,safety,safety
consultants,consultants,consultants
n,in,n
our,our,our
plants,plants,plants
and,and,and
hlgher,higher,hlgher
visibility,visibility,visibility
for,for,for
such,such,such
union,union,unmm
orlented,oriented,orlented
medical,medical,medlcal
consultants,consultants,consultants
as,as,as
dr,dr,dr
irvlng,irving,irvlng
sellkoff,selikoff,sellkoff
who,who,who
has,has,has
recently,recently,recently
been,been,been
featured,featured,featured
at,at,at
unlon,union,unlon
conventlons,conventions,conventlons
ncludng,including,ncludng
those,those,those
of,of,of
the,the,the
ocaw,ocaw,ocaw
and,and,and
the,the,the
nternatlonal,international,nternatlonal
chemical,chemical,chemlcal
workers,workers,workers
won,union,wmon
inltlally,initially,inltlally
most,most,most
unlon,union,unlon
leadershlp,leadership,leadershlp
stayed,stayed,stayed
far,far,far
afleld,afield,afleld
of,of,of
employers,employers,employers
equal,equal,equal
employment,employment,employment
actlvltles,activities,actlvltles
and,and,and
understandably,understandably,understandably
most,most,most
of,of,of
thelr,their,thelr
membershlp,membership,membershlp
was,was,was
whlte,white,whlte
and,and,and
male,male,male
and,and,and
didnt,didnt,dldnt
advocate,advocate,advocate
or,or,or
want,want,want
much,much,much
change,change,change
but,but,but
as,as,as
our,our,our
efforts,efforts,efforts
to,to,to
better,better,better
utilize,utilize,utilize
minorities,minorities,minorities
and,and,and
females,females,females
have,have,have
been,been,been
successful,successful,successful
these,these,these
same,same,same
unions,unions,unlons
are,are,are
now,now,now
respond,respond,respond
cma,ing,mg
to,to,to
thls,this,thls
growing,growing,growlng
mlnorlty,minority,mlnorlty
and,and,and
female,female,female
membershlp,membership,membershlp
n,in,n
several,several,several
ways,ways,ways
the,the,the
grlevance,grievance,grlevance
procedure,procedure,procedure
has,has,has
always,always,always
been,been,been
avaliable,available,avaliable
to,to,to
resolve,resolve,resolve
problems,problems,problems
ncludng,including,ncludng
those,those,those
of,of,of
alleged,alleged,alleged
discrimination,discrimination,dlscrlmlnatlon
but,but,but
we,we,we
havent,havent,havent
seen,seen,seen
anything,anything,anythlng
yet,yet,yet
hourly,hourly,hourly
employees,employees,employees
n,in,n
ncreaslng,increasing,ncreaslng
numbers,numbers,numbers
are,are,are
utilizing,utilizing,utlllzlng
all,all,all
avaliable,available,avaliable
forums,forums,forums
to,to,to
resolve,resolve,resolve
thelr,their,thelr
discrimination,discrimination,discrimination
com,com,com
plalnts,plaints,plalnts
grlevance,grievance,grlevance
procedures,procedures,procedures
local,local,local
and,and,and
state,state,state
human,human,human
rlghts,rights,rlghts
com,com,com
mlsslons,missions,mlsslons
the,the,the
eeoc,eeoc,eeoc
the,the,the
employers,employers,employers
compllance,compliance,compllance
agency,agency,agency
as,as,as
well,well,well
as,as,as
prlvate,private,prlvate
equal,equal,equal
employment,employment,employment
groups,groups,groups
upon,union,vmon
leadershlp,leadership,leadershlp
will,will,will
push,push,push
to,to,to
become,become,become
more,more,more
involved,involved,nvolved
n,in,n
our,our,our
equal,equal,equal
employment,employment,employment
opportunlty,opportunity,opportunlty
efforts,efforts,efforts
partly,partly,partly
out,out,out
of,of,of
a,a,a
new,new,new
nterest,interest,nterest
and,and,and
partly,partly,partly
to,to,to
protect,protect,protect
themselves,themselves,themselves
from,from,from
discrimination,discrimination,dlscrlmlnatlon
charges,charges,charges
from,from,from
thelr,their,thelr
new,new,new
female,female,female
and,and,and
mlnorlty,minority,mlnorlty
members,members,members
cma,cma,cm
th,this,th
hill,will,hill
contlnue,continue,contlnue
to,to,to
burden,burden,burden
us,us,us
with,with,hlth
timeconsuming,timeconsuming,tlmedzonsumlng
and,and,and
expenslve,expensive,expenslve
investigations,investigations,investlgatlons
and,and,and
lltlgatlons,litigations,lltlgatlons
however,however,however
i,i,i
forecast,forecast,forecast
an,an,an
even,even,even
more,more,more
the,the,the
employment,employment,employment
and,and,and
upgradlng,upgrading,upgradlng
of,of,of
professlonal,professional,professlonal
employees,employees,employees
our,our,our
abllltles,abilities,abllltles
as,as,as
managers,managers,managers
to,to,to
plan,plan,plan
organize,organize,organlze
control,control,control
evaluate,evaluate,evaluate
and,and,and
motlvate,motivate,motlvate
will,will,will
be,be,be
tested,tested,tested
as,as,as
never,never,never
before,before,before
there,there,there
follow,follow,follow
detalled,detailed,detalled
reports,reports,reports
on,on,on
partlcular,particular,partlcular
areas,areas,areas
of,of,of
the,the,the
commlttees,committees,commlttees
nterest,interest,nterest
the,the,the
outlook,outlook,outlook
for,for,for
labor,labor,labor
leglslatlon,legislation,leglslatlon
n,in,n
the,the,the
new,new,new
congress,congress,congress
spokesmen,spokesmen,spokesman
for,for,for
organlzed,organized,organlzed
labor,labor,labor
have,have,have
declared,declared,declared
that,that,that
they,they,they
are,are,are
golng,going,golng
to,to,to
give,give,give
overriding,overriding,overirldlng
prlorlty,priority,prlorlty
to,to,to
measures,measures,measures
to,to,to
revlve,revive,revlve
the,the,the
economy,economy,economy
and,and,and
reduce,reduce,reduce
unemployment,unemployment,unemployment
rather,rather,rather
than,than,than
to,to,to
thelr,their,thelr
own,own,own
parochlal,parochial,parochlal
nterests,interests,nterests
enthusiastic,enthusiastic,enthuslastlc
as,as,as
labor,labor,labor
n,in,n
support,support,support
of,of,of
the,the,the
humphreyhawkins,humphreyhawkins,humphreyiawklns
cma,bill,mu
however,however,however
after,after,after
the,the,the
administration,administration,admlnlstratlon
and,and,and
the,the,the
congress,congress,congress
have,have,have
done,done,done
what,what,what
they,they,they
can,can,can
about,about,about
unemployment,unemployment,unemployment
the,the,the
unions,unions,unlons
will,will,will
be,be,be
presslng,pressing,presslng
the,the,the
nactment,nactment,nactment
of,of,of
measures,measures,measures
of,of,of
partlcular,particular,partlcular
nterest,interest,nterest
to,to,to
them,them,them
with,with,hlth
greater,greater,greater
hope,hope,hope
of,of,of
success,success,success
n,in,n
view,view,vlew
of,of,of
the,the,the
makeup,makeup,makeup
of,of,of
the,the,the
congress,congress,congress
and,and,and
the,the,the
leadlng,leading,leadlng
role,role,role
labor,labor,labor
played,played,played
n,in,n
the,the,the
carter,carter,carter
victory,victory,victory
the,the,the
unions,unions,unlons
the,the,the
minimum,minimum,minimum
hourly,hourly,hourly
wage,wage,wage
with,with,hlth
a,a,a
llkely,likely,llkely
shortiterm,shortterm,shortiterm
target,target,target
in,in,in
addltlon,addition,addltlon
proposals,proposals,proposals
will,will,will
be,be,be
made,made,made
to,to,to
index,index,ndex
the,the,the
minimum,minimum,minimum
wage,wage,wage
by,by,by
index,index,index
a,as,a
a,a,a
consequence,consequence,consequence
of,of,of
the,the,the
current,current,current
high,high,hlgh
rate,rate,rate
of,of,of
unemployment,unemployment,unemployment
which,which,whlch
seems,seems,seems
llkely,likely,llkely
to,to,to
prevall,prevail,prevall
through,through,through
cma,bills,mm
will,will,will
be,be,be
ntroduced,introduced,ntroduced
with,with,hlth
the,the,the
stated,stated,stated
objective,objective,objectlve
of,of,of
spreadlng,spreading,spreadlng
the,the,the
avaliable,available,avaliable
work,work,work
by,by,by
ncreas,increas,ncreas
ing,ing,mg
the,the,the
present,present,present
overtlme,overtime,overtlme
premlum,premium,premlum
for,for,for
hours,hours,hours
worked,worked,worked
over,over,over
forty,forty,forty
per,per,per
proposals,proposals,proposals
also,also,also
will,will,will
be,be,be
made,made,made
under,under,under
the,the,the
walshhealey,walshhealey,walshiealey
publlc,public,publlc
contracts,contracts,contracts
act,act,act
to,to,to
ralse,raise,ralse
the,the,the
present,present,present
premlum,premium,premlum
for,for,for
hours,hours,hours
worked,worked,worked
n,in,n
excess,excess,excess
of,of,of
eight,eight,elght
per,per,per
day,day,day
to,to,to
natlonal,national,natlonal
labor,labor,labor
relatlons,relations,relatlons
act,act,act
our,our,our
success,success,success
v,via,v
presidential,presidential,presldentlal
veto,veto,veto
n,in,n
opposlng,opposing,opposlng
common,common,common
m,situs,m
picketing,picketing,plcketlng
n,in,n
may,may,may
be,be,be
shortlived,shortlived,shorpllved
at,at,at
constructlon,construction,constructlon
sltes,sites,sltes
e,ie,e
m,to,m
permlt,permit,permlt
one,one,one
unlon,union,unlon
m,to,m
plcket,picket,plcket
an,an,an
entire,entire,entlre
project,project,project
involving,involving,nvolvng
several,several,several
employers,employers,employers
and,and,and
means,unions,muons
further,further,further
there,there,there
will,will,will
llkely,likely,llkely
be,be,be
a,a,a
serlous,serious,serlous
attempt,attempt,attempt
to,to,to
repeal,repeal,repeal
sectlon,section,sectlon
m,b,m
the,the,the
scicalled,socalled,scicalled
right,right,rlght
to,to,to
work,work,work
provlslon,provision,provlslon
under,under,under
which,which,whlch
states,states,states
predomlnantly,predominantly,predomlnantly
n,in,n
the,the,the
soutm,south,soutm
have,have,have
banned,banned,banned
compulsory,compulsory,compulsory
unlon,union,unlon
membershlp,membership,membershlp
clauses,clauses,clauses
will,will,will
be,be,be
pressed,pressed,pressed
to,to,to
speed,speed,speed
up,up,up
nlrb,nlrb,nlrb
pros,proc,pros
sses,sses,sses
for,for,for
example,example,example
to,to,to
make,make,make
cma,cma,cm
the,the,the
recommended,recommended,recommended
orders,orders,orders
of,of,of
administrative,administrative,admlnlstratlve
law,law,law
judges,judges,judges
formerly,formerly,formerly
trlal,trial,trlal
examiners,examiners,examlner
selfexecuting,selfexecuting,selfiexecutlng
and,and,and
flnal,final,flnal
subject,subject,subject
to,to,to
appeal,appeal,appeal
upon,upon,upon
grant,grant,grant
of,of,of
certlorarl,certiorari,certlorarl
by,by,by
the,the,the
labor,labor,labor
board,board,board
meanlng,meaning,meanlng
the,the,the
board,board,board
at,at,at
currently,currently,currently
even,even,even
orders,orders,orders
of,of,of
the,the,the
board,board,board
are,are,are
not,not,not
selfexecuting,selfexecuting,selfiexecutlng
rather,rather,rather
the,the,the
board,board,board
must,must,must
petition,petition,petition
a,a,a
circuit,circuit,clrcult
court,court,court
of,of,of
appeals,appeals,appeals
for,for,for
enforcement,enforcement,enforcement
of,of,of
orders,orders,orders
which,which,whlch
would,would,would
confer,confer,confer
upon,upon,upon
the,the,the
equal,equal,equal
employment,employment,employment
opportunlty,opportunity,opportunlty
commlsslon,commission,commlsslon
much,much,much
of,of,of
the,the,the
power,power,power
enjoyed,enjoyed,enjoyed
by,by,by
the,the,the
natlonal,national,natlonal
labor,labor,labor
relatlons,relations,relatlons
board,board,board
e,ie,e
to,to,to
make,make,make
determinations,determinations,detemlnatlons
that,that,that
unfair,unfair,unfalr
employment,employment,employment
practlces,practices,practlces
have,have,have
been,been,been
commltted,committed,commltted
n,in,n
conclllatlon,conciliation,conclllatlon
to,to,to
nsttute,institute,nsttute
m,suit,m
agalnst,against,agalnst
the,the,the
alleged,alleged,alleged
vlolators,violators,vlolators
the,the,the
supreme,supreme,supreme
court,court,court
recently,recently,recently
declded,decided,declded
that,that,that
employers,employers,employers
need,need,need
not,not,not
as,as,as
a,a,a
matter,matter,matter
of,of,of
law,law,law
equate,equate,equate
pregnancy,pregnancy,pregnancy
leave,leave,leave
and,and,and
disability,disability,dlsablllty
leave,leave,leave
nsofar,insofar,nsofar
as,as,as
pay,pay,pay
continuation,continuation,contlnuatlon
or,or,or
nsured,insured,nsured
beneflts,benefits,beneflts
are,are,are
concerned,concerned,concerned
mule,while,mule
thls,this,thls
declslon,decision,declslon
llfted,lifted,llfted
the,the,the
threat,threat,threat
of,of,of
substantlal,substantial,substantlal
backpay,backpay,backipay
liability,liability,liability
from,from,from
the,the,the
future,future,future
to,to,to
fully,fully,fully
equate,equate,equate
pregnancy,pregnancy,pregnancy
leave,leave,leave
and,and,and
disability,disability,dlsablllty
leave,leave,leave
unemployment,unemployment,unemployment
compensatlon,compensation,compensatlon
there,there,there
will,will,will
be,be,be
a,a,a
strong,strong,strong
push,push,push
to,to,to
impose,impose,mpose
upon,upon,upon
the,the,the
stateadministered,stateadministered,statewadmlnlstered
system,system,system
a,a,a
set,set,set
of,of,of
federal,federal,federal
minimum,minimum,minimum
beneflts,benefits,beneflts
standards,standards,standards
e,ie,e
to,to,to
set,set,set
a,a,a
floor,floor,floor
not,not,not
a,a,a
ceiling,ceiling,ceiling
workers,workers,workers
compensatlon,compensation,compensatlon
here,here,here
too,too,too
the,the,the
matter,matter,matter
of,of,of
federal,federal,federal
beneflts,benefits,beneflts
standards,standards,standards
will,will,will
be,be,be
pressed,pressed,pressed
at,at,at
least,least,least
equal,equal,equal
attentlon,attention,attentlon
will,will,will
be,be,be
given,given,given
to,to,to
unposlng,imposing,unposlng
federal,federal,federal
standards,standards,standards
for,for,for
coverage,coverage,coverage
of,of,of
occupatlonal,occupational,occupatlonal
dlseases,diseases,dlseases
conceivably,conceivably,concelvably
the,the,the
latter,latter,latter
standards,standards,standards
might,might,mlght
include,include,nclude
presumptlon,presumption,presumptlon
of,of,of
the,the,the
occupatlonal,occupational,occupatlonal
nature,nature,nature
of,of,of
dlsease,disease,dlsease
absent,absent,absent
proof,proof,proof
to,to,to
the,the,the
contrary,contrary,contrary
e,ie,e
mar,mer,mar
employment,employment,employment
n,in,n
the,the,the
society,vicinity,vlclnlty
of,of,of
a,a,a
glven,given,glven
substance,substance,substance
would,would,would
give,give,give
rlse,rise,rlse
to,to,to
the,the,the
presumptlon,presumption,presumptlon
revlve,revive,revlve
the,the,the
proposal,proposal,proposal
made,made,made
n,in,n
the,the,the
prevlous,previous,prevlous
congress,congress,congress
requlrlng,requiring,requlrlng
employers,employers,employers
to,to,to
give,give,give
advance,advance,advance
notice,notice,notlce
as,as,as
much,much,much
as,as,as
two,two,two
years,years,yearsy
of,of,of
plant,plant,plant
closmgs,closings,closmgs
andor,andor,andor
relocatlons,relocations,relocatlons
such,such,such
leglslatlon,legislation,leglslatlon
would,would,would
give,give,give
the,the,the
labor,labor,labor
depart,depart,depart
ment,ment,ment
the,the,the
power,power,power
to,to,to
hold,hold,hold
publlc,public,publlc
hearlngs,hearings,hearlngs
and,and,and
m,to,m
deprlve,deprive,deprlve
the,the,the
employer,employer,employer
of,of,of
tax,tax,tax
beneflts,benefits,beneflts
eg,eg,eg
investment,investment,nvestment
tax,tax,tax
credit,credit,credlt
deferral,deferral,deferral
of,of,of
tax,tax,tax
on,on,on
forelgn,foreign,forelgn
income,income,ncome
where,where,where
a,a,a
closing,closing,closmg
or,or,or
relocatlon,relocation,relocatlon
was,was,was
found,found,found
unjustified,unjustified,unjustlfled
th,this,th
proposal,proposal,proposal
seems,seems,seems
so,so,so
extreme,extreme,extreme
as,as,as
to,to,to
render,render,render
passage,passage,passage
most,most,most
unllkely,unlikely,unllkely
however,howeveiii,howevelll
plant,plant,plant
relocatlons,relocations,relocatlons
by,by,by
major,major,major
employers,employers,employers
the,the,the
study,study,study
might,might,mlght
well,well,well
extend,extend,extend
i,i,i
beyond,beyond,beyond
the,the,the
v,u,v
s,s,s
to,to,to
include,include,nclude
the,the,the
alleged,alleged,alleged
export,export,export
of,of,of
jobs,jobs,jobs
by,by,by
usbased,usbased,usbased
multlnatlonal,multinational,multlnatlonal
last,firms,lms
i,i,i
i,i,i
aim,cma,am
i,i,i
penslons,pensions,penslons
soclal,social,soclal
securlty,security,securlty
and,and,and
health,health,health
insurance,insurance,insurance
the,the,the
new,new,new
penslon,pension,penslon
leglslatlon,legislation,leglslatlon
became,became,became
effectlve,effective,effectlve
n,in,n
all,all,all
the,the,the
three,three,three
major,major,major
areas,areas,areas
of,of,of
adjustment,adjustment,adjustment
were,were,were
wasting,vesting,wasting
fundlng,funding,fundlng
and,and,and
maklng,making,maklng
joint,joint,jolnt
survivorship,survivorship,survlvorshlp
mandatory,mandatory,mandatory
n,in,n
all,all,all
plans,plans,plans
the,the,the
baslc,basic,baslc
ntentlon,intention,ntentlon
was,was,was
to,to,to
assure,assure,assure
sound,sound,sound
fundlng,funding,fundlng
and,and,and
how,widows,mow
beneflts,benefits,beneflts
for,for,for
all,all,all
prlvate,private,prlvate
plans,plans,plans
an,an,an
unlntended,unintended,unlntended
effect,effect,effect
has,has,has
been,been,been
a,a,a
high,high,hlgh
number,number,number
of,of,of
penslon,pension,penslon
plan,plan,plan
termlnatlons,terminations,termlnatlons
by,by,by
small,small,small
employers,employers,employers
due,due,due
to,to,to
the,the,the
high,high,hlgh
cpst,cpst,cps
of,of,of
administration,administration,admlnlstratlon
th,this,th
will,will,will
probably,probably,probably
call,call,call
for,for,for
some,some,some
revlslons,revisions,revlslons
n,in,n
the,the,the
leglslatlon,legislation,leglslatlon
during,during,durlng
the,the,the
soclal,social,soclal
securlty,security,securlty
system,system,system
has,has,has
operated,operated,operated
n,in,n
the,the,the
red,red,red
for,for,for
the,the,the
past,past,past
two,two,two
years,years,years
although,although,although
the,the,the
th,th,th
congress,congress,congress
ultlmately,ultimately,ultlmately
took,took,took
no,no,no
actlon,action,actlon
seemlngly,seemingly,seemlngly
the,the,the
th,th,th
